id	group	element	pos	alleleA	alleleB	alleleC	alleleD	alleleE	posControl	negControl
maptprom_chr17_45893536_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893536	chr17_45893536	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893537_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893537	chr17_45893537	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893538_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893538	chr17_45893538	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893539_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893539	chr17_45893539	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893540_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893540	chr17_45893540	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893541_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893541	chr17_45893541	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893542_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893542	chr17_45893542	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893543_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893543	chr17_45893543	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893544_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893544	chr17_45893544	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893545_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893545	chr17_45893545	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893546_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893546	chr17_45893546	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893547_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893547	chr17_45893547	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893548_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893548	chr17_45893548	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893549_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893549	chr17_45893549	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893550_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893550	chr17_45893550	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893551_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893551	chr17_45893551	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893552_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893552	chr17_45893552	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893553_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893553	chr17_45893553	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893554_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893554	chr17_45893554	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893555_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893555	chr17_45893555	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893556_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893556	chr17_45893556	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893557_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893557	chr17_45893557	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893558_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893558	chr17_45893558	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893559_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893559	chr17_45893559	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893560_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893560	chr17_45893560	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893561_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893561	chr17_45893561	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893562_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893562	chr17_45893562	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893563_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893563	chr17_45893563	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893564_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893564	chr17_45893564	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893565_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893565	chr17_45893565	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893566_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893566	chr17_45893566	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893567_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893567	chr17_45893567	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893568_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893568	chr17_45893568	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893569_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893569	chr17_45893569	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893570_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893570	chr17_45893570	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893571_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893571	chr17_45893571	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893572_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893572	chr17_45893572	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893573_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893573	chr17_45893573	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893574_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893574	chr17_45893574	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893575_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893575	chr17_45893575	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893576_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893576	chr17_45893576	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893577_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893577	chr17_45893577	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893578_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893578	chr17_45893578	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893579_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893579	chr17_45893579	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893580_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893580	chr17_45893580	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893581_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893581	chr17_45893581	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893582_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893582	chr17_45893582	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
maptprom_chr17_45893583_referenceseq	MAPTpromoterRefseq	maptprom_chr17_45893583	chr17_45893583	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
